组播频道,#genre#
CCTV10,http://1.83.163.75:8888/rtp/239.112.205.86:5140$(陕西西安)
CCTV11,http://1.83.163.75:8888/rtp/239.112.205.213:5140$(陕西西安)
CCTV12,http://1.83.163.75:8888/rtp/239.112.205.88:5140$(陕西西安)
CCTV14,http://1.83.163.75:8888/rtp/239.112.205.91:5140$(陕西西安)
CCTV15,http://1.83.163.75:8888/rtp/239.112.205.214:5140$(陕西西安)
CCTV16,http://1.83.163.75:8888/rtp/239.111.205.134:5140$(陕西西安)
CCTV17,http://1.83.163.75:8888/rtp/239.112.205.211:5140$(陕西西安)


CCTV1,http://1.82.144.16:4022/rtp/239.112.205.59:5140$(陕西宝鸡)
CCTV2,http://1.82.144.16:4022/rtp/239.112.205.78:5140$(陕西宝鸡)
CCTV3,http://1.82.144.16:4022/rtp/239.112.205.221:5140$(陕西宝鸡)
CCTV4,http://1.82.144.16:4022/rtp/239.112.205.202:5140$(陕西宝鸡)
CCTV5,http://1.82.144.16:4022/rtp/239.112.205.222:5140$(陕西宝鸡)
CCTV5+,http://1.82.144.16:4022/rtp/239.111.205.13:5140$(陕西宝鸡)
CCTV6,http://1.82.144.16:4022/rtp/239.112.205.223:5140$(陕西宝鸡)
CCTV7,http://1.82.144.16:4022/rtp/239.112.205.83:5140$(陕西宝鸡)
CCTV8,http://1.82.144.16:4022/rtp/239.112.205.224:5140$(陕西宝鸡)
CCTV9,http://1.82.144.16:4022/rtp/239.112.205.85:5140$(陕西宝鸡)
CCTV10,http://1.82.144.16:4022/rtp/239.112.205.86:5140$(陕西宝鸡)
CCTV11,http://1.82.144.16:4022/rtp/239.112.205.213:5140$(陕西宝鸡)
CCTV12,http://1.82.144.16:4022/rtp/239.112.205.88:5140$(陕西宝鸡)
CCTV14,http://1.82.144.16:4022/rtp/239.112.205.91:5140$(陕西宝鸡)
CCTV15,http://1.82.144.16:4022/rtp/239.112.205.214:5140$(陕西宝鸡)
CCTV16,http://1.82.144.16:4022/rtp/239.111.205.134:5140$(陕西宝鸡)
CCTV17,http://1.82.144.16:4022/rtp/239.112.205.211:5140$(陕西宝鸡)

CCTV1,http://117.23.162.73:9001/rtp/239.112.205.59:5140$(陕西咸阳)
CCTV2,http://117.23.162.73:9001/rtp/239.112.205.78:5140$(陕西咸阳)
CCTV3,http://117.23.162.73:9001/rtp/239.112.205.221:5140$(陕西咸阳)
CCTV4,http://117.23.162.73:9001/rtp/239.112.205.202:5140$(陕西咸阳)
CCTV5,http://117.23.162.73:9001/rtp/239.112.205.222:5140$(陕西咸阳)
CCTV5+,http://117.23.162.73:9001/rtp/239.111.205.13:5140$(陕西咸阳)
CCTV6,http://117.23.162.73:9001/rtp/239.112.205.223:5140$(陕西咸阳)
CCTV7,http://117.23.162.73:9001/rtp/239.112.205.83:5140$(陕西咸阳)
CCTV8,http://117.23.162.73:9001/rtp/239.112.205.224:5140$(陕西咸阳)
CCTV9,http://117.23.162.73:9001/rtp/239.112.205.85:5140$(陕西咸阳)
CCTV10,http://117.23.162.73:9001/rtp/239.112.205.86:5140$(陕西咸阳)
